labels	source	f	m	kw_s	kw_f	kw_m	data_split
HEAD;SCMP;SUBJ;PROF	Moment railway worker crashes into 100mph train.	Momento en que una trabajadora ferroviaria choca contra un tren a 160 km/h.	Momento en que un trabajador ferroviario choca contra un tren a 160 km/h.	railway [worker]	una [trabajadora] ferroviaria	un [trabajador] ferroviario	test
SUBJ;PROF;PLUR;SCMP;AATR;PPA;PLUR;SCMP;AATR;PLUR;DFCL	Thus, it is clear that many members of Congress who are in favor of the resolution have voted for this amendment because, despite everything, they are not yet convinced, they are not yet sure of the efficacy and harmlessness of therapeutic practices whose validity has not been scientifically proven.	Así pues, evidentemente muchas congresistas que son favorables a la resolución han votado esta enmienda porque, a pesar de todo, no están aún convencidas, no están aún seguras de la eficacia ni de la inocuidad de prácticas terapéuticas cuya validez no se ha comprobado científicamente.	Así pues, evidentemente muchos congresistas que son favorables a la resolución han votado esta enmienda porque, a pesar de todo, no están aún convencidos, no están aún seguros de la eficacia ni de la inocuidad de prácticas terapéuticas cuya validez no se ha comprobado científicamente.	many [members of congress]=convinced=sure	muchas [congresistas]=convencidas=seguras	muchos [congresistas]=convencidos=seguros	test
VOC;PPA;FAM;PLUR	Dear children through love you will achieve everything and even what you think is impossible.	Queridas hijas, con el amor, ustedes lo conseguirán todo, aún aquello que les parece imposible.	Queridos hijos, con el amor, ustedes lo conseguirán todo, aún aquello que les parece imposible.	dear [children]	queridas [hijas]	queridos [hijos]	test
SUBJ;FAM;RSCMP;PROF	My cousin is a writer there.	Mi prima es escritora allá.	Mi primo es escritor allá.	cousin=writer	prima=escritora	primo=escritor	test
OPRP;FAM	Tell me more about your little sister and her friend who came with her the other day.	Cuéntame más sobre tu hermana chiquita y su amiga que vino el otro día con ella.	Cuéntame más sobre tu hermana chiquita y su amigo que vino el otro día con ella.	friend	amiga	amigo	test
DOBJ;PROF	I've a plasterer staying at my place.	Tengo una yesera que está en mi casa.	Tengo un yesero que está en mi casa.	plasterer	una [yesera]	un [yesero]	test
SUBJ;PROF	The chauffeur threw in the gears and swung the heavy machine to the side.	La chófer metió las marchas e hizo girar la pesada máquina hacia un lado.	El chófer metió las marchas e hizo girar la pesada máquina hacia un lado.	chauffeur	la [chófer]	el [chófer]	test
OPRP;OTH;PPA;ANAN;DIFF	But even in this case the judge must be able to test the implications of expelling the asylum-seeker if he is indeed to be expelled.	Aunque también en este último caso la expulsión de la solicitante de asilo rechazada deberá poder ser examinada por la justicia.	Aunque también en este último caso la expulsión del solicitante de asilo rechazado deberá poder ser examinada por la justicia.	asylum-seeker=expelled	de la [solicitante de asilo] rechazada	del [solicitante de asilo] rechazado	test
SUBJ;NAT;OTH;PLUR;SUBJ;NAT;OTH;PLUR	In the coming days, a great many Austrian and Europeans will be driving through your country, where they will encounter a motorway toll system that is utterly discriminatory.	Durante los próximos días, muchas austriacas y europeas circularán a través de su país, donde se encontrarán con un sistema de peaje en autopista que es tremendamente discriminador.	Durante los próximos días, muchos austriacos y europeos circularán a través de su país, donde se encontrarán con un sistema de peaje en autopista que es tremendamente discriminador.	many [austrian]=europeans	muchas [austriacas]=europeas	muchos [austriacos]=europeos	test
SCMP;SUBJ;NAT;PROF	I am glad that a European representative is playing a prominent role.	Yo me congratulo de que una representante europea tenga un papel destacado.	Yo me congratulo de que un representante europeo tenga un papel destacado.	european [representative]	una [representante] europea	un [representante] europeo	test
FRAG;QUES;SCMP;ANAN;DOBJ;PROF	How can it exist, since, and I stress this once again, during this debate there is not one representative of either the governing or the opposition party.	¿Cómo puede existir si, y vuelvo a recalcarlo, en este debate no hay una sola representante del partido gobernante ni de la oposición?	¿Cómo puede existir si, y vuelvo a recalcarlo, en este debate no hay un solo representante del partido gobernante ni de la oposición?	one [representative]	una sola [representante]	un solo [representante]	test
SUBJ;NAT;PROF	No Israeli reporter could cover the conflict in the African country.	A ninguna reportera israelí se le permitió cubrir el conflicto en el país africano.	A ningún reportero israelí se le permitió cubrir el conflicto en el país africano.	no israeli [reporter]	ninguna [reportera]	ningún [reportero]	test
PPA;SUBJ;PROF;DFCL	Specializing in sweet cuisine, the pastry chef defends a fresh, light and fun pastry style.	Especializada en cocina dulce, la pastelera defiende un estilo de pastelería fresco, ligero y divertido.	Especializado en cocina dulce, el pastelero defiende un estilo de pastelería fresco, ligero y divertido.	specializing=[pastry chef]	especializada=la [pastelera]	especializado=el [pastelero]	test
SUBJ;OTH;PLUR;AATR;PLUR	The owners are lovely people and helpful.	Las dueñas son encantadoras y serviciales.	Los dueños son encantadores y serviciales.	owners=lovely	las [dueñas]=encantadoras	los [dueños]=encantadores	test
SUBJ;DROP;PLUR;AATR;PPA;PLUR;SCMP;NAT;PLUR;DFCL	For years we have been ignored, people were not interested in what the Poles thought.	Durante años hemos sido ignoradas, la gente no estaba interesada en lo que las polacas pensaban.	Durante años hemos sido ignorados, la gente no estaba interesada en lo que los polacos pensaban.	we=ignored=poles	(nosotras)=ignoradas=las [polacas]	(nosotros)=ignorados=los [polacos]	test
SUBJ;PROF;PLUR	These dancers are working on a new choreography.	Estas bailarinas están trabajando en una nueva coreografía.	Estos bailarines están trabajando en una nueva coreografía.	these [dancers]	estas [bailarinas]	estos [bailarines]	test
DOBJ;FAM;PPA	I found my friend cheerful despite the devastating news.	Encontré a mi amiga animada a pesar de las noticias devastadoras.	Encontré a mi amigo animado a pesar de las noticias devastadoras.	[friend] cheerful	[amiga] animada	[amigo] animado	test
OPRP;PROF;PPA	All the newspapers featured the scandal of the fired officer.	Todos los periódicos reseñaron el escándalo de la funcionaria despedida.	Todos los periódicos reseñaron el escándalo del funcionario despedido.	of the fired [officer]	de la [funcionaria] despedida	del [funcionario] despedido	test
IOBJ;OTH	The lawyer offered many legal remedies to his client.	El abogado ofreció muchos recursos legales a su clienta.	El abogado ofreció muchos recursos legales a su cliente.	client	clienta	cliente	test
SUBJ;POSS;POSC;PROF;PLUR	Our farmers could not cope with that.	No lo soportarían nuestras agricultoras.	No lo soportarían nuestros agricultores.	our [farmers]	nuestras [agricultoras]	nuestros [agricultores]	test
DOBJ;OPRP;PPA	If you have a heart condition that puts you in the disabled category, you may receive an ID card with a disabling icon.	Si tiene una enfermedad cardíaca que la pone en la categoría de discapacitada, podrá recibir una tarjeta de identificación con un icono de discapacitación.	Si tiene una enfermedad cardíaca que lo pone en la categoría de discapacitado, podrá recibir una tarjeta de identificación con un icono de discapacitación.	you=disabled	la=discapacitada	lo=discapacitado	test
SUBJ;POSS;POSC;PROF;PLUR	Our engineers have broad based skills to cater for all our customers requirements.	Nuestras ingenieras tienen amplias habilidades para satisfacer todos los requerimientos de nuestros clientes.	Nuestros ingenieros tienen amplias habilidades para satisfacer todos los requerimientos de nuestros clientes.	our [engineers]	nuestras [ingenieras]	nuestros [ingenieros]	test
SUBJ;DROP;APRD;PPA;APRD;PPA	I feel very grateful and excited about the future.	Me siento muy agradecida y entusiasmada acerca del futuro.	Me siento muy agradecido y entusiasmado acerca del futuro.	I=very grateful=excited	(yo)=muy agradecida=entusiasmada	(yo)=muy agradecido=entusiasmado	test
SUBJ;PROF	The librarian delivers a copy in pdf format.	La bibliotecaria entrega una copia en formato pdf.	El bibliotecario entrega una copia en formato pdf.	librarian	la [bibliotecaria]	el [bibliotecario]	test
SUBJ;OTH;PLUR	The ideal is six players who win and win and a high level.	Lo ideal son seis jugadoras que ganen y ganen y un nivel alto.	Lo ideal son seis jugadores que ganen y ganen y un nivel alto.	players	jugadoras	jugadores	test
SUBJ;PROF;PLUR	Farmers will evolve, but they have to be given the chance to do so.	Las granjeras evolucionarán, pero se les tiene que dar la oportunidad para que lo hagan.	Los granjeros evolucionarán, pero se les tiene que dar la oportunidad para que lo hagan.	farmers	las [granjeras]	los [granjeros]	test
SUBJ;ANAN;NAT;REL;ANAN;PLUR	Faced with such pressure, many Chinese believers are joining 'underground churches' and one of these is the illegal Catholic church.	Ante tales presiones, numerosas fieles chinas se incorporan a las «iglesias de la sombra» entre las que se encuentra la Iglesia católica clandestina.	Ante tales presiones, numerosos fieles chinos se incorporan a las «iglesias de la sombra» entre las que se encuentra la Iglesia católica clandestina.	many chinese [believers]	numerosas [fieles] chinas	numerosos [fieles] chinos	test
SUBJ;OTH;PLUR	The successful ones I meet know when to shut up.	Las exitosas que conozco, saben cuándo callarse.	Los exitosos que conozco, saben cuándo callarse.	[successful ones]	las [exitosas]	los [exitosos]	test
FRAG;RSCMP;PROF	A really professional actor.	Es una actriz realmente muy profesional.	Es un actor realmente muy profesional.	really professional [actor]	una [actriz] realmente muy profesional	un [actor] realmente muy profesional	test
SUBJ;DROP;AATR;PPA;ANAN	I'm ashamed that I have to share a species with her.	Estoy avergonzada que tengo que compartir una especie con ella.	Estoy avergonzado que tengo que compartir una especie con ella.	I=ashamed	(yo)=avergonzada	(yo)=avergonzado	test
QUES;DOBJ;PROF;PLUR	Are there any speakers for or against?	¿Hay alguna oradora a favor o en contra?	¿Hay algún orador a favor o en contra?	any [speakers]	alguna [oradora]	algún [orador]	test
FRAG;SUBJ;PROF	A fellow astronomer approached me one day,	Una colega astrónoma que se me acercó un día,	Un colega astrónomo que se me acercó un día,	fellow [astronomer]	una colega [astrónoma]	un colega [astrónomo]	test
SUBJ;PROF;PLUR;RSCMP;PROF;PLUR;OPRP;PROF;PLUR;OPRP;PROF;PLUR	They are all independent creators with established careers as creators and teachers.	Todas ellas son creadoras independientes con una trayectoria como creadoras y pedagogas.	Todos ellos son creadores independientes con una trayectoria como creadores y pedagogos.	[they] all=independent [creators]=creators=teachers	todas [ellas]=[creadoras] independientes=creadoras=pedagogas	todos [ellos]=[creadores] independientes=creadores=pedagogos	test
IOBJ;OTH;PLUR	Assistance for refugees in the region must be much better coordinated than hitherto so that care is not duplicated for some while people in some areas receive no assistance.	Es preciso coordinar mucho mejor que hasta ahora la ayuda a las refugiadas sobre el terreno, de manera que no se produzcan duplicidades, mientras a algunos lugares no llega nada.	Es preciso coordinar mucho mejor que hasta ahora la ayuda a los refugiados sobre el terreno, de manera que no se produzcan duplicidades, mientras a algunos lugares no llega nada.	refugees	las [refugiadas]	los [refugiados]	test
SUBJ;PROF;PLUR;AATR	The politicians could not be more inactive than they are now, even after his departure.	Las políticas no podrían estar más inactivas de lo que están ahora, ni aunque se hubiera ido el Alto Representante.	Los políticos no podrían estar más inactivos de lo que están ahora, ni aunque se hubiera ido el Alto Representante.	politicians=more inactive	las [políticas]=más inactivas	los [políticos]=más inactivos	test
SUBJ;PROF;PLUR	Doctors say she is quite a fighter.	Las doctoras dicen que es toda una luchadora.	Los doctores dicen que es toda una luchadora.	doctors	las [doctoras]	los [doctores]	test
SUBJ;FAM;PLUR;AATR;PPA;PLUR	No, my middle brother's children are adopted.	No, las hijas de mi hermano mediano son adoptadas.	No, los hijos de mi hermano mediano son adoptados.	children=adopted	las [hijas]=adoptadas	los [hijos]=adoptados	test
SUBJ;PROF	The supplier monitors flight arrival times and will arrange your transport to collect you at the new arrival time.	La proveedora controla tiempos de llegada del vuelo y se encargará de su transporte a recoger a la nueva hora de llegada.	El proveedor controla tiempos de llegada del vuelo y se encargará de su transporte a recoger a la nueva hora de llegada.	supplier	la [proveedora]	el [proveedor]	test
SUBJ;DROP;PLUR;APRD;PLUR	When we arrived at your house we were very happy.	Cuando llegamos a tu casa nos sentimos muy contentas.	Cuando llegamos a tu casa nos sentimos muy contentos.	we=very happy	(nosotras)=muy contentas	(nosotros)=muy contentos	test
SUBJ;DROP;RSCMP;PROF;RSCMP;PROF	You are a doctor, a theologian and now you are entering the world of politics.	Eres médica, teóloga y ahora te introduces al mundo de la política.	Eres médico, teólogo y ahora te introduces al mundo de la política.	you=[a doctor]=[a theologian]	(tú)=médica=teóloga	(tú)=médico=teólogo	test
DOBJ;FAM	My parents had a child before me who died.	Mis padres tuvieron una hija antes que yo que murió.	Mis padres tuvieron un hijo antes que yo que murió.	child	una [hija]	un [hijo]	test
SUBJ;DROP;AATR	I was too kind to think I could tame a beast.	Fui demasiado ilusa al pensar que podría domar a una bestia.	Fui demasiado iluso al pensar que podría domar a una bestia.	I=too kind	(yo)=demasiado ilusa	(yo)=demasiado iluso	test
IMPR;DOBJ;PLUR	Leave them alone and in peace, they are playing.	Déjalas tranquilas y en paz, están jugando.	Déjalos tranquilos y en paz, están jugando.	[leave them] alone	[déjalas] tranquilas	[déjalos] tranquilos	test
SCMP;SUBJ;OTH	In negotiations, it is extremely important that your opponent takes you seriously, which is hardly likely to be the case here.	En la negociación es muy importante que la contrincante te tome en serio,  lo que es poco probable que ocurra en este caso.	En la negociación es muy importante que el contrincante te tome en serio,  lo que es poco probable que ocurra en este caso.	opponent	la [contrincante]	el [contrincante]	test
SCMP;SUBJ;OTH	Consequently, I am here to echo what the last speaker said: why were we asked for an opinion?	En consecuencia, estoy aquí para hacerme eco de lo que ha dicho la última oradora: ¿por qué se nos ha pedido una opinión?	En consecuencia, estoy aquí para hacerme eco de lo que ha dicho el último orador: ¿por qué se nos ha pedido una opinión?	last [speaker]	la última [oradora]	el último [orador]	test
IOBJ;OTH;PLUR	The criminals do not worry about issues of subsidiarity and frontier controls and whether the niceties of national law versus European law are properly abided by - they operate in whatever way makes them the biggest profit and achieves their objectives.	A las delincuentes no les preocupan temas como la subsidiaridad y los controles fronterizos ni si se acatan las sutilezas que diferencian el Derecho nacional del Derecho comunitario -aplican cualquier medio que les aporte los mayores beneficios y les permita alcanzar sus objetivos.	A los delincuentes no les preocupan temas como la subsidiaridad y los controles fronterizos ni si se acatan las sutilezas que diferencian el Derecho nacional del Derecho comunitario -aplican cualquier medio que les aporte los mayores beneficios y les permita alcanzar sus objetivos.	criminals	las [delincuentes]	los [delincuentes]	test
SUBJ;DROP;AATR;PPA	I didn't hear the discussion, I was asleep on the couch.	No escuché la discusión, estaba dormida en el sillón.	No escuché la discusión, estaba dormido en el sillón.	I=asleep	(yo)=dormida	(yo)=dormido	test
SCMP;SUBJ;OTH	There is no doubt that this intruder has been spying on us.	No hay duda de que esta intrusa nos ha estado espiando.	No hay duda de que este intruso nos ha estado espiando.	this [intruder]	esta [intrusa]	este [intruso]	test
SUBJ;OTH;PLUR	Because citizens would have condemned this half-hearted gesture which would have allowed the cruel slaughter to continue.	Porque las ciudadanas habrían condenado este gesto timorato que habría permitido que la cruel matanza continuara.	Porque los ciudadanos habrían condenado este gesto timorato que habría permitido que la cruel matanza continuara.	citizens	las [ciudadanas]	los [ciudadanos]	test
QUES;SUBJ;NAT;PROF;PLUR	How do Polish dancers do it?	¿Cómo lo hacen las bailarinas polacas?	¿Cómo lo hacen los bailarines polacos?	polish [dancers]	las [bailarinas] polacas	los [bailarines] polacos	test
SUBJ;PROF	The dictator is also a Buddhist but confuses mind and reality.	La dictadora también es budista, pero confunde lo que está en su mente con la realidad.	El dictador también es budista, pero confunde lo que está en su mente con la realidad.	dictator	la [dictadora]	el [dictador]	test
SUBJ;OTH;PPA	The exposed person must have the time and the means to quickly oppose the start-up of the machine.	La afectada expuesta deberá tener el tiempo y los medios de oponerse rápidamente a la puesta en marcha de la máquina.	El afectado expuesto deberá tener el tiempo y los medios de oponerse rápidamente a la puesta en marcha de la máquina.	exposed [person]	la [afectada] expuesta	el [afectado] expuesto	test
SUBJ;DROP;AATR;AATR	Always has spoken with authority but was never overbearing or controlling.	Siempre ha hablado con autoridad, pero nunca fue autoritaria o controladora.	Siempre ha hablado con autoridad, pero nunca fue autoritario o controlador.	(he/she)=overbearing=controlling	(ella)=autoritaria=controladora	(él)=autoritario=controlador	test
QUES;SCMP;DOBJ;PROF	Correct me if I'm wrong, didn't you say to obey the driver?	Corrígeme si me equivoco, ¿no dijiste tú que obedeciera a la conductora?	Corrígeme si me equivoco, ¿no dijiste tú que obedeciera al conductor?	driver	a la [conductora]	al [conductor]	test
SCMP;DOBJ;PROF	Until we heard that 10 kilometers away there was a doctor, who was looking at people and giving them meds.	Hasta que supimos que a 10 kilómetros había una doctora que podía... que ayudaba a la gente y daba medicamentos.	Hasta que supimos que a 10 kilómetros había un doctor que podía... que ayudaba a la gente y daba medicamentos.	doctor	una [doctora]	un [doctor]	test
OPRP;PROF	Started as a cashier before assuming more important functions.	Entró como una cajera antes de asumir funciones más importantes.	Entró como un cajero antes de asumir funciones más importantes.	cashier	una [cajera]	un [cajero]	test
QUES;SUBJ;FAM	Does your child receive or qualify for free/reduced price lunch at school during the academic school year?	¿Recibe o califica su hija para almuerzo gratis/precio reducido en la escuela durante el año escolar?	¿Recibe o califica su hijo para almuerzo gratis/precio reducido en la escuela durante el año escolar?	child	hija	hijo	test
SUBJ;PROF	The professor I met yesterday, plays the piano and the trombone.	La profesora que conocí ayer, toca el piano y el trombón.	El profesor que conocí ayer, toca el piano y el trombón.	professor	la [profesora]	el [profesor]	test
DOBJ;PROF	I need to call my consignee.	Tengo que llamar a mi consignataria.	Tengo que llamar a mi consignatario.	consignee	consignataria	consignatario	test
SUBJ;PROF;PLUR	Both candidates will also have two minutes for closing.	Ambas candidatas tendrán además dos minutos para el cierre.	Ambos candidatos tendrán además dos minutos para el cierre.	both [candidates]	ambas [candidatas]	ambos [candidatos]	test
SUBJ;PROF;PLUR	And it was here that physicists stepped forever into the strange netherworld of quantum events.	Y aquí las físicas se adentraron en el oscuro y extraño mundo cuántico.	Y aquí los físicos se adentraron en el oscuro y extraño mundo cuántico.	physicists	las [físicas]	los [físicos]	test
QUES;SUBJ;PROF	Did a patrol officer take these photos?	¿Una patrullera tomó estas fotos?	¿Un patrullero tomó estas fotos?	[patrol officer]	una [patrullera]	un [patrullero]	test
SUBJ;PROF	The employee sends a new supplier request.	La empleada envía una nueva solicitud de proveedor.	El empleado envía una nueva solicitud de proveedor.	employee	la [empleada]	el [empleado]	test
SUBJ;PROF	A teacher who has to get each of the classes, and in a week works 20 hours.	Una profesora que debe conseguir cada una de sus clases, y en una semana trabaja 20 horas.	Un profesor que debe conseguir cada una de sus clases, y en una semana trabaja 20 horas.	teacher	una [profesora]	un [profesor]	test
SUBJ;PROF;PLUR	Other inventors build extraordinary gloves for telemedicine.	Otras inventoras fabrican guantes extraordinarios para la telemedicina.	Otros inventores fabrican guantes extraordinarios para la telemedicina.	other [inventors]	otras [inventoras]	otros [inventores]	test
SUBJ;PROF;APRD;PPA	This veterinarian comes highly recommended.	Esta veterinaria viene altamente recomendada.	Este veterinario viene altamente recomendado.	this [veterinarian]=highly recommended	esta [veterinaria]=altamente recomendada	este [veterinario]=altamente recomendado	test
OPRP;PROF	Tomorrow we will present the coordinator's report on the ambitious initiative.	Mañana presentaremos el reporte de la coordinadora de la ambiciosa iniciativa.	Mañana presentaremos el reporte del coordinador de la ambiciosa iniciativa.	coordinator's	de la [coordinadora]	del [coordinador]	test
SCMP;SUBJ;FAM;PLUR	And my argument is that all children have tremendous talents.	Y mi argumento es que todas las niñas tienen tremendos talentos.	Y mi argumento es que todos los niños tienen tremendos talentos.	all [children]	todas las [niñas]	todos los [niños]	test
SUBJ;PROF;PLUR	Use of the opt-out will not be restricted, no monitoring will be introduced, and workers will have to continue working up to 78 hours a week.	No se limitará el uso del acuerdo de renuncia, no se introducirán controles y las trabajadoras tendrán que seguir trabajando hasta 78 horas a la semana.	No se limitará el uso del acuerdo de renuncia, no se introducirán controles y los trabajadores tendrán que seguir trabajando hasta 78 horas a la semana.	workers	las [trabajadoras]	los [trabajadores]	test
SUBJ;FAM	The child is chasing the tiny cat.	La niña está persiguiendo al gato diminuto.	El niño está persiguiendo al gato diminuto.	child	la [niña]	el [niño]	test
SCMP;OPRP;NAT;PROF;DIFF	This is the second time this week that a Dutch minister is obvious by their absence.	Es la segunda vez que en esta semana notamos la ausencia de una ministra neerlandesa.	Es la segunda vez que en esta semana notamos la ausencia de un ministro neerlandés.	dutch [minister]	una [ministra] neerlandesa	un [ministro] neerlandés	test
SUBJ;DROP;AATR;PPA	It's been a long journey, and I really am exhausted.	Ha sido un viaje muy largo, y estoy realmente agotada.	Ha sido un viaje muy largo, y estoy realmente agotado.	I=exhausted	(yo)=agotada	(yo)=agotado	test
SUBJ;FAM;PLUR	The grandchildren asked him to play the piano.	Las nietas le pidieron que tocara el piano.	Los nietos le pidieron que tocara el piano.	grandchildren	las [nietas]	los [nietos]	test
SUBJ;PROF;PLUR	Transmission system operators shall, if necessary for the purpose of carrying out their functions including in relation to cross-border transmission, have access to the network of other transmission system operators.	Si lo necesitan para desempeñar sus funciones, incluido el transporte transfronterizo, las gestoras de redes de transporte podrán acceder a la red de otros gestores de redes de transporte.	Si lo necesitan para desempeñar sus funciones, incluido el transporte transfronterizo, los gestores de redes de transporte podrán acceder a la red de otros gestores de redes de transporte.	transmission system [operators]	las [gestoras] de redes de transporte	los [gestores] de redes de transporte	test
SUBJ;PROF;PLUR	All these ten cadets showed leadership in combat as NCOs.	Todas estas diez cadetes mostraron liderazgo en combate como suboficiales.	Todos estos diez cadetes mostraron liderazgo en combate como suboficiales.	all these ten [cadets]	todas estas diez [cadetes]	todos estos diez [cadetes]	test
IOBJ;PROF;PLUR	With multiple store layouts and the ability to create categories and options for your products, Online Store lets you customize and organize your store to make it easy for your customers to shop.	Con múltiples opciones de diseño y la habilidad de crear categorías y opciones para tus productos, la Tienda en Línea te permite organizar y personalizar tu tienda para facilitarle las compras a tus clientas.	Con múltiples opciones de diseño y la habilidad de crear categorías y opciones para tus productos, la Tienda en Línea te permite organizar y personalizar tu tienda para facilitarle las compras a tus clientes.	customers	clientas	clientes	test
SUBJ;PROF	The hunter watched the prey for hours before shooting it.	La cazadora vigiló a su presa por horas antes de dispararle.	El cazador vigiló a su presa por horas antes de dispararle.	hunter	la [cazadora]	el [cazador]	test
SUBJ;OTH;PLUR	We have the ongoing everyday problems that children are facing not only with regard to sexual and emotional abuse but poverty, lack of opportunity and protection.	Nos enfrentamos con problemas actuales y cotidianos: las chicas no sólo son víctimas de abusos sexuales y emocionales, sino de la pobreza, la falta de oportunidades y la protección.	Nos enfrentamos con problemas actuales y cotidianos: los chicos no sólo son víctimas de abusos sexuales y emocionales, sino de la pobreza, la falta de oportunidades y la protección.	children	las [chicas]	los [chicos]	test
SUBJ;DROP;AATR;PPA	I am ashamed to be so late, but traffic was horrible.	Estoy avergonzada de llegar tan tarde, pero el tráfico era horrible.	Estoy avergonzado de llegar tan tarde, pero el tráfico era horrible.	I=ashamed	(yo)=avergonzada	(yo)=avergonzado	test
SUBJ;OTH	Well, the witness has sworn to hearing the screaming.	Bien, la testigo ha jurado que oyó los gritos.	Bien, el testigo ha jurado que oyó los gritos.	witness	la [testigo]	el [testigo]	test
SUBJ;PROF;PLUR;AATR;PLUR	Indeed, chess players can also be very aggressive.	En verdad, las jugadoras de ajedrez también pueden ser muy agresivas.	En verdad, los jugadores de ajedrez también pueden ser muy agresivos.	chess [players]=very aggressive	las [jugadoras] de ajedrez=muy agresivas	los [jugadores] de ajedrez=muy agresivos	test
SUBJ;OTH	The kid needs a belt if you ask me.	La chica necesita una correa, en mi opinión.	El chico necesita una correa, en mi opinión.	kid	la [chica]	el [chico]	test
SUBJ;POSS;POSC;PPA;PROF	Our daring explorer sets course for the city.	Nuestra osada exploradora pone rumbo a la ciudad.	Nuestro osado explorador pone rumbo a la ciudad.	our daring [explorer]	nuestra osada [exploradora]	nuestro osado [explorador]	test
QUES;SUBJ;FAM	Does your child exhibit any behaviors that may interfere with the academic performance?	¿Exhibe su hija algún comportamiento que pueda interferir con el desempeño académico?	¿Exhibe su hijo algún comportamiento que pueda interferir con el desempeño académico?	child	hija	hijo	test
SUBJ;PROF	The consultant shall, upon completion of the contract, deliver all such documents and data to the contracting authority.	Una vez finalizado el contrato, la consultora entregará el conjunto de dichos informes y datos a la Autoridad Contratante.	Una vez finalizado el contrato, el consultor entregará el conjunto de dichos informes y datos a la Autoridad Contratante.	consultant	la [consultora]	el [consultor]	test
SCMP;SUBJ;NAT;OTH;PLUR	In conclusion, if the European citizens do not receive convincing replies at a supranational level, it will be difficult to curb their feelings of detachment and alienation from the institutions, which will seem distant, incomprehensible and also costly.	En conclusión, si las ciudadanas europeas no obtienen respuestas convincentes en el ámbito supranacional, será difícil detener el distanciamiento y el desapego de las instituciones que a la postre resultarán lejanas, incomprensibles e incluso costosas.	En conclusión, si los ciudadanos europeos no obtienen respuestas convincentes en el ámbito supranacional, será difícil detener el distanciamiento y el desapego de las instituciones que a la postre resultarán lejanas, incomprensibles e incluso costosas.	european [citizens]	las [ciudadanas] europeas	los [ciudadanos] europeos	test
SUBJ;PROF	The psychologist recovered from the stupor, and suddenly looked under the table.	La psicóloga se recuperó de su estupor, y de repente miró debajo de la mesa.	El psicólogo se recuperó de su estupor, y de repente miró debajo de la mesa.	psychologist	la [psicóloga]	el [psicólogo]	test
SUBJ;PROF	The trustee shall commence work immediately upon appointment.	La fideicomisaria emprenderá su trabajo inmediatamente después de su nombramiento.	El fideicomisario emprenderá su trabajo inmediatamente después de su nombramiento.	trustee	la [fideicomisaria]	el [fideicomisario]	test
SUBJ;PROF;PPA;DFCL	Let me remind you that pursuant to Rule 14 of the Rules, to be elected a candidate must obtain an absolute majority of votes cast after the first three ballots.	Quiero recordar que de conformidad con el artículo 14 del Reglamento, una candidata, para ser elegida, debe obtener en las tres primeras votaciones la mayoría absoluta de los votos emitidos.	Quiero recordar que de conformidad con el artículo 14 del Reglamento, un candidato, para ser elegido, debe obtener en las tres primeras votaciones la mayoría absoluta de los votos emitidos.	candidate=elected	una [candidata]=elegida	un [candidato]=elegido	test
SUBJ;DROP;AATR;PPA	When I wake up in the morning, I am still half asleep.	Cuando me despierto por las mañanas, todavía estoy medio dormida.	Cuando me despierto por las mañanas, todavía estoy medio dormido.	I=half sleep	(yo)=medio dormida	(yo)=medio dormido	test
QUES;IOBJ;DROP;APRD;PPA;APRD;PPA	How does your team and job keep you motivated and engaged?	¿Cómo le mantiene motivada y comprometida su equipo y su trabajo?	¿Cómo le mantiene motivado y comprometido su equipo y su trabajo?	you=motivated=engaged	(usted)=motivada=comprometida	(usted)=motivado=comprometido	test
SUBJ;PROF;SCMP;DOBJ;AATR;DFCL	The evaluator I have met with have been very pleasant and attentive.	La evaluadora con la que me he reunido ha sido muy agradable y atenta.	El evaluador con el que me he reunido ha sido muy agradable y atento.	evaluator=attentive	la [evaluadora]=la [que]=atenta	el [evaluador]=el [que]=atento	test
OPRP;PROF	"Anchored by two intense perfs (...), a musician who also composed the pic's growling, atmospheric score, this period drama offers a coolly febrile study of madness, Victorian sexual politics and power."	«Con el apoyo de dos intensas interpretaciones (...), y de una música que compuso la evocadora banda sonora de la película, este drama de época ofrece un febril y frío estudio de la locura, de la política sexual victoriana y del poder».	«Con el apoyo de dos intensas interpretaciones (...), y de un músico que compuso la evocadora banda sonora de la película, este drama de época ofrece un febril y frío estudio de la locura, de la política sexual victoriana y del poder».	musician	una [música]	un [músico]	test
SUBJ;PROF	The veterinary surgeon expert must be a national of a Member State other than the exporting country or country of destination.	La cirujana veterinaria especialista deberá tener la nacionalidad de uno de los Estados miembros que no sea la del país exportador ni la del país destinatario.	El cirujano veterinario especialista deberá tener la nacionalidad de uno de los Estados miembros que no sea la del país exportador ni la del país destinatario.	veterinary [surgeon]	la [cirujana] veterinaria	el [cirujano] veterinario	test
SUBJ;PROF	The president of this company founded a Japanese sake bottler in Australia, where rice prices are 1/8-1/9 compared with that of Japan.	La presidenta de esta compañía fundó una embotelladora de sake en Australia, donde los precios del arroz son 1/8 1/9 comparados con los de Japón.	El presidente de esta compañía fundó una embotelladora de sake en Australia, donde los precios del arroz son 1/8 1/9 comparados con los de Japón.	president	la [presidenta]	el [presidente]	test
