labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
SUBJ;PLUR;DOBJ;OTH;AATR;PROF	This prime minister wants to make good citizens.	Cette première ministre veut former de bonnes citoyennes.	Cette première ministre veut former de bons citoyens.	Ce premier ministre veut former de bonnes citoyennes.	Ce premier ministre veut former de bons citoyens.	this prime [minister];good [citizens]	cette première [ministre];bonnes [citoyennes]	ce premier [ministre];bons [citoyens]
SUBJ;OTH;NHUM;DOBJ	The titan chased the horserider.	La titane a poursuivi la cavalière.	La titane a poursuivi le cavalier.	Le titan a poursuivi la cavalière.	Le titan a poursuivi le cavalier.	titan;horserider	la [titane];la [cavalière]	le [titan];le [cavalier]
SUBJ;NAT;PLUR;DFCL;PERS	The Togolese said they would not be able to carry out flights during the night.	Les Togolaises ont déclaré qu’elles ne pourraient pas effectuer de vols pendant la nuit.	Les Togolaises ont déclaré qu’ils ne pourraient pas effectuer de vols pendant la nuit.	Les Togolais ont déclaré qu’elles ne pourraient pas effectuer de vols pendant la nuit.	Les Togolais ont déclaré qu’ils ne pourraient pas effectuer de vols pendant la nuit.	Togolese;they	Togolaises;elles	Togolais;ils
ANAN;SUBJ;OTH	Whether tourist or local, your stay will be unique.	En tant que touriste ou locale, votre séjour sera unique.	En tant que touriste ou local, votre séjour sera unique.	En tant que touriste ou locale, votre séjour sera unique.	En tant que touriste ou local, votre séjour sera unique.	tourist;local	touriste;locale	touriste;local
SUBJ;PLUR;ANAN;IOBJ;OTH;PROF	The town councilor must suggest to the locals a recyclable alternative.	La conseillère municipale doit proposer aux administrées une alternative recyclable.	La conseillère municipale doit proposer aux administrés une alternative recyclable.	Le conseiller municipal doit proposer aux administrées une alternative recyclable.	Le conseiller municipal doit proposer aux administrés une alternative recyclable.	town [councilor];locals	la [conseillère] municipale;administrées	le [conseiller] municipal;administrés
SUBJ;PROF;SCMP;GLNK	My trainer is like a sergeant.	Mon entraîneuse est comme une sergente.	Mon entraîneuse est comme un sergent.	Mon entraîneur est comme une sergente.	Mon entraîneur est comme un sergent.	trainer;sergeant	entraîneuse;une [sergente]	entraîneur;un [sergent]
SUBJ;PLUR;PROF;DOBJ;ANAN	The translator worked on some smaller stories to entertain the bookworms.	La traductrice a travaillé sur de plus courtes histoires pour divertir les dévoreuses de livres.	La traductrice a travaillé sur de plus courtes histoires pour divertir les dévoreurs de livres.	Le traducteur a travaillé sur de plus courtes histoires pour divertir les dévoreuses de livres.	Le traducteur a travaillé sur de plus courtes histoires pour divertir les dévoreurs de livres.	translator;bookworms	la [traductrice];dévoreuses	le [traducteur];dévoreurs
SUBJ;NHUM;DOBJ;AATR	The troglodyte defeated the last dragon.	La troglodyte a vaincu la dernière dragonne.	La troglodyte a vaincu le dernier dragon.	Le troglodyte a vaincu la dernière dragonne.	Le troglodyte a vaincu le dernier dragon.	troglodyte;last [dragon]	la [troglodyte];la dernière [dragonne]	le [troglodyte];le dernier [dragon]
SUBJ;PLUR;ANAN;OTH;OPRP	A trustee acts on behalf of beneficiaries at their own risk.	La fiduciaire intervient pour le compte des fiduciantes à leur propre risque.	La fiduciaire intervient pour le compte des fiduciants à leur propre risque.	Le fiduciaire intervient pour le compte des fiduciantes à leur propre risque.	Le fiduciaire intervient pour le compte des fiduciants à leur propre risque.	trustee;beneficiaries	la [fiduciaire];fiduciantes	le [fiduciaire];fiduciants
SUBJ;NAT;PLUR;SCMP;IPRO	Two look like Omanis.	Deux ressemblent à des Omanaises.	Deux ressemblent à des Omanais.	Deux ressemblent à des Omanaises.	Deux ressemblent à des Omanais.	two;Omanis	deux;Omanaises	deux;Omanais
PLUR;ANAN;IOBJ;NAT;OPRP;IPRO	To show their support to the Ugandans, the document was signed before all.	Pour montrer leur soutien aux Ougandaises, le document a été signé devant toutes.	Pour montrer leur soutien aux Ougandaises, le document a été signé devant tous.	Pour montrer leur soutien aux Ougandais, le document a été signé devant toutes.	Pour montrer leur soutien aux Ougandais, le document a été signé devant tous.	Ugandans;all	Ougandaises;toutes	Ougandais;tous
APRD;SUBJ;PLUR;PROF;SCMP;ANAN;DEMO	On the water, the umpires here are similar to those in other sports, make instant decisions and hand out penalties.	Sur l’eau, les arbitres ici sont comparables à celles des autres sports, prennent des décisions instantanées et donnent des pénalités.	Sur l’eau, les arbitres ici sont comparables à ceux des autres sports, prennent des décisions instantanées et donnent des pénalités.	Sur l’eau, les arbitres ici sont comparables à celles des autres sports, prennent des décisions instantanées et donnent des pénalités.	Sur l’eau, les arbitres ici sont comparables à ceux des autres sports, prennent des décisions instantanées et donnent des pénalités.	umpires;those	arbitres;celles	arbitres;ceux
APRD;SUBJ;PLUR;SCMP;NHUM;GLNK	Are the undead and zombies alike or different?	Est-ce que les mortes-vivantes sont semblables aux zombies ?	Est-ce que les mortes-vivantes sont semblables aux zombies ?	Est-ce que les morts-vivants sont semblables aux zombies ?	Est-ce que les morts-vivants sont semblables aux zombies ?	undead;zombies	mortes-vivantes;zombies	morts-vivants;zombies
SUBJ;PLUR;OTH;OPRP;IPRO	An undesirable among many!	Une indésirable parmi d’autres !	Une indésirable parmi d’autres !	Un indésirable parmi d’autres !	Un indésirable parmi d’autres !	undesirable;many	une [indésirable];autres	un [indésirable];autres
PLUR;IOBJ;OTH;GLNK	This gives tips and tricks to the unemployed and job seekers.	Cela donne des trucs et astuces aux chômeuses et demandeuses d’emploi.	Cela donne des trucs et astuces aux chômeuses et demandeurs d’emploi.	Cela donne des trucs et astuces aux chômeurs et demandeuses d’emploi.	Cela donne des trucs et astuces aux chômeurs et demandeurs d’emploi.	unemployed;seekers	chômeuses;demandeuses	chômeurs;demandeurs
ANAN;SUBJ;PLUR;OTH;GLNK	Vacationers and travelers who come every now and again look for accommodations for a short duration.	Les vacancières et voyageuses qui viennent de temps à autre cherchent des hébergements pour une courte durée.	Les vacancières et voyageurs qui viennent de temps à autre cherchent des hébergements pour une courte durée.	Les vacanciers et voyageuses qui viennent de temps à autre cherchent des hébergements pour une courte durée.	Les vacanciers et voyageurs qui viennent de temps à autre cherchent des hébergements pour une courte durée.	vacationers;travelers	vacancières;voyageuses	vacanciers;voyageurs
ANAN;PROF;DOBJ	The new hotel hired a valet, as well as a concierge.	Le nouvel hôtel a embauché une voiturière, ainsi qu’une concierge.	Le nouvel hôtel a embauché une voiturière, ainsi qu’un concierge.	Le nouvel hôtel a embauché un voiturier, ainsi qu’une concierge.	Le nouvel hôtel a embauché un voiturier, ainsi qu’un concierge.	valet;concierge	une [voiturière];une [concierge]	un [voiturier];un [concierge]
PLUR;IOBJ;OTH	Our menu also caters to vegetarians and diabetics.	Notre menu s’adresse aussi aux végétariennes et diabétiques.	Notre menu s’adresse aussi aux végétariennes et diabétiques.	Notre menu s’adresse aussi aux végétariens et diabétiques.	Notre menu s’adresse aussi aux végétariens et diabétiques.	vegetarians;diabetics	végétariennes;diabétiques	végétariens;diabétiques
SUBJ;OTH;OPRP	Therefore the victor gets recognition from the loser.	Donc la vainqueuse obtient la reconnaissance de la perdante.	Donc la vainqueuse obtient la reconnaissance du perdant.	Donc le vainqueur obtient la reconnaissance de la perdante.	Donc le vainqueur obtient la reconnaissance du perdant.	victor;loser	la [vainqueuse];de la [perdante]	le [vainqueur];du [perdant]
PLUR;IOBJ;OTH;GLNK	The tank-monument reminds the villagers and civilians of the war.	Le char-monument rappelle aux villageoises et civiles la guerre.	Le char-monument rappelle aux villageoises et civils la guerre.	Le char-monument rappelle aux villageois et civiles la guerre.	Le char-monument rappelle aux villageois et civils la guerre.	villagers;civilians	villageoises;civiles	villageois;civils
SUBJ;PLUR;IOBJ;OTH;PROF	The warden did not give the inmates enough time to cover up.	La surveillante n’a pas donné aux détenues assez de temps pour se couvrir.	La surveillante n’a pas donné aux détenus assez de temps pour se couvrir.	Le surveillant n’a pas donné aux détenues assez de temps pour se couvrir.	Le surveillant n’a pas donné aux détenus assez de temps pour se couvrir.	warden;inmates	la [surveillante];détenues	le [surveillant];détenus
SUBJ;PLUR;DFCL;OTH;NAT;OPRP	One way in which the Westerners expressed their dissatisfaction is by organizing demonstrations against the fundamentalists.	Une des manières dont les Occidentales ont exprimé leur mécontentement est en organisant des manifestations contre les fondamentalistes.	Une des manières dont les Occidentales ont exprimé leur mécontentement est en organisant des manifestations contre les fondamentalistes.	Une des manières dont les Occidentaux ont exprimé leur mécontentement est en organisant des manifestations contre les fondamentalistes.	Une des manières dont les Occidentaux ont exprimé leur mécontentement est en organisant des manifestations contre les fondamentalistes.	Westerners;fundamentalists	Occidentales;fondamentalistes	Occidentaux;fondamentalistes
SUBJ;NAT;IOBJ;DFCL;DEMO	Whoever gave the egg to the Argentinian made a mistake.	Celle qui a donné l’oeuf à l’Argentine a fait une erreur.	Celle qui a donné l’oeuf à l’Argentin a fait une erreur.	Celui qui a donné l’oeuf à l’Argentine a fait une erreur.	Celui qui a donné l’oeuf à l’Argentin a fait une erreur.	whoever;Argentinian	celle;Argentine	celui;Argentin
SUBJ;PLUR;DOBJ;REL	The Wiccans prayed to their deity.	Les wiccanes prièrent leur déesse.	Les wiccanes prièrent leur dieu.	Les wiccans prièrent leur déesse.	Les wiccans prièrent leur dieu.	Wiccans;deity	wiccanes;déesse	wiccans;dieu
SUBJ;NHUM;OTH;OPRP	The winged monster was with the hillbilly.	La monstresse ailée était avec la péquenaude.	La monstresse ailée était avec le péquenaud.	Le monstre ailé était avec la péquenaude.	Le monstre ailé était avec le péquenaud.	winged [monster];hillbilly	la [monstresse] ailée;la [péquenaude]	le [monstre] ailé;le [péquenaud]
SUBJ;NHUM	Can a wolf and a fox agree?	Est-ce qu’une louve et une renarde peuvent s’entendre ?	Est-ce qu’une louve et un renard peuvent s’entendre ?	Est-ce qu’un loup et une renarde peuvent s’entendre ?	Est-ce qu’un loup et un renard peuvent s’entendre ?	wolf;fox	une [louve];une [renarde]	un [loup];un [renard]
SUBJ;PROF;SCMP;GLNK	A wrecker is almost like a demolisher.	Une démonteuse est presque comme une démolisseuse.	Une démonteuse est presque comme un démolisseur.	Un démonteur est presque comme une démolisseuse.	Un démonteur est presque comme un démolisseur.	wrecker;demolisher	une [démonteuse];une [démolisseuse]	un [démonteur];un [démolisseur]
SUBJ;PROF;OPRP	One wrestler climbs into the ring and twirls the bow of the archer.	Une lutteuse monte dans l’arène et fait virevolter l’arc de l’archère.	Une lutteuse monte dans l’arène et fait virevolter l’arc de l’archer.	Un lutteur monte dans l’arène et fait virevolter l’arc de l’archère.	Un lutteur monte dans l’arène et fait virevolter l’arc de l’archer.	wrestler;archer	une [lutteuse];archère	un [lutteur];archer
SUBJ;PLUR;PROF;DFCL;OTH	Writers write so readers can read.	Les écrivaines écrivent pour que les lectrices puissent lire.	Les écrivaines écrivent pour que les lecteurs puissent lire.	Les écrivains écrivent pour que les lectrices puissent lire.	Les écrivains écrivent pour que les lecteurs puissent lire.	writers;readers	écrivaines;lectrices	écrivains;lecteurs
SUBJ;PLUR;SCMP;REL;OTH	A Zionist is among the graduates.	Une sioniste est parmi les diplômées.	Une sioniste est parmi les diplômés.	Un sioniste est parmi les diplômées.	Un sioniste est parmi les diplômés.	Zionist;graduates	une [sioniste];diplômées	un [sioniste];diplômés
SUBJ;PLUR;APPS;DFCL;PPA;NAT;PERS	A Jordanian sitting in the back of the room said that they came here by accident.	Une Jordanienne assise au fond de la salle a dit qu’elles sont venues ici par accident.	Une Jordanienne assise au fond de la salle a dit qu’ils sont venus ici par accident.	Un Jordanien assis au fond de la salle a dit qu’elles sont venues ici par accident.	Un Jordanien assis au fond de la salle a dit qu’ils sont venus ici par accident.	[Jordanian] sitting;they=came	une [Jordanienne] assise;elles=venues	un [Jordanien] assis;ils=venus
SUBJ;FAM;OTH;PPA;OPRP	The accomplice of the tagger was also caught.	La complice de la tagueuse a également été arrêtée.	La complice du tagueur a également été arrêtée.	Le complice de la tagueuse a également été arrêté.	Le complice du tagueur a également été arrêté.	accomplice=caught;tagger	la [complice]=arrêtée;de la [tagueuse]	le [complice]=arrêté;du [tagueur]
SUBJ;PLUR;ANAN;OTH;AATR;GLNK	Past drug addicts and narcotraffickers should come into the schools to speak, because this is effective.	Les anciennes toxicomanes et narcotrafiquantes devraient venir dans les écoles pour parler, car c’est efficace.	Les anciennes toxicomanes et narcotrafiquants devraient venir dans les écoles pour parler, car c’est efficace.	Les anciens toxicomanes et narcotrafiquantes devraient venir dans les écoles pour parler, car c’est efficace.	Les anciens toxicomanes et narcotrafiquants devraient venir dans les écoles pour parler, car c’est efficace.	addicts=past;narcotraffickers	anciennes [toxicomanes];narcotrafiquantes	anciens [toxicomanes];narcotrafiquants
SUBJ;PROF;AATR;GLNK	No architect or contractor needs to worry about the fact that the switches are not matching the interior perfectly.	Aucune architecte ou constructrice ne doit s’inquiéter du fait que les interrupteurs ne s’adaptent pas parfaitement à l’intérieur.	Aucune architecte ou constructeur ne doit s’inquiéter du fait que les interrupteurs ne s’adaptent pas parfaitement à l’intérieur.	Aucun architecte ou constructrice ne doit s’inquiéter du fait que les interrupteurs ne s’adaptent pas parfaitement à l’intérieur.	Aucun architecte ou constructeur ne doit s’inquiéter du fait que les interrupteurs ne s’adaptent pas parfaitement à l’intérieur.	architect=no;contractor	architecte=aucune;constructrice	architecte=aucun;constructeur
SUBJ;PLUR;PPA;NAT;OPRP;PROF	The Chinese were hired by a tradesperson.	Les Chinoises ont été embauchées par une boutiquière.	Les Chinoises ont été embauchées par un boutiquier.	Les Chinois ont été embauchés par une boutiquière.	Les Chinois ont été embauchés par un boutiquier.	Chinese=hired;tradesperson	Chinoises=embauchées;une [boutiquière]	Chinois=embauchés;un [boutiquier]
APRD;SUBJ;PLUR;PROF;GLNK	Cleaners and domestics are extremely important.	Les nettoyeuses et domestiques sont extrêmement importantes.	Les nettoyeuses et domestiques sont extrêmement importants.	Les nettoyeurs et domestiques sont extrêmement importantes.	Les nettoyeurs et domestiques sont extrêmement importants.	cleaners;domestics=important	nettoyeuses;domestiques=importantes	nettoyeurs;domestiques=importants
APRD;SUBJ;PLUR;PROF;DFCL	When garbage collectors need help in dealing with pests, exterminators are always prepared to offer some advice.	Lorsque les éboueuses ont besoin d’aide pour gérer les nuisibles, les exterminatrices sont toujours prêtes à offrir des conseils.	Lorsque les éboueuses ont besoin d’aide pour gérer les nuisibles, les exterminateurs sont toujours prêts à offrir des conseils.	Lorsque les éboueurs ont besoin d’aide pour gérer les nuisibles, les exterminatrices sont toujours prêtes à offrir des conseils.	Lorsque les éboueurs ont besoin d’aide pour gérer les nuisibles, les exterminateurs sont toujours prêts à offrir des conseils.	collectors;exterminators=prepared	éboueuses;exterminatrices=prêtes	éboueurs;exterminateurs=prêts
APRD;SUBJ;PLUR;ANAN;OTH;PROF;PERS	Commissioner, we are concerned about the economic climate prevailing in the countries of the European Union, elsewhere in Europe and throughout the world, which is due to the misery caused by this policy.	Commissaire, nous sommes inquiètes de la situation économique prévalant dans les pays de l’Union européenne, ailleurs en Europe et à travers le monde, qui est due à la misère engendrée par cette politique.	Commissaire, nous sommes inquiets de la situation économique prévalant dans les pays de l’Union européenne, ailleurs en Europe et à travers le monde, qui est due à la misère engendrée par cette politique.	Commissaire, nous sommes inquiètes de la situation économique prévalant dans les pays de l’Union européenne, ailleurs en Europe et à travers le monde, qui est due à la misère engendrée par cette politique.	Commissaire, nous sommes inquiets de la situation économique prévalant dans les pays de l’Union européenne, ailleurs en Europe et à travers le monde, qui est due à la misère engendrée par cette politique.	commissioner;we=concerned	commissaire;nous=inquiètes	commissaire;nous=inquiets
APRD;SUBJ;PLUR;DOBJ;REL;IPRO	The Confucianists stood ready to lead the others.	Les confucianistes se tenaient prêtes à diriger les autres.	Les confucianistes se tenaient prêtes à diriger les autres.	Les confucianistes se tenaient prêts à diriger les autres.	Les confucianistes se tenaient prêts à diriger les autres.	Confucianists=ready;others	confucianistes=prêtes;autres	confucianistes=prêts;autres
SUBJ;PLUR;DOBJ;NAT;PPA;AATR;PROF	Over 150 consuls went to see the Chadian.	Plus de 150 consules sont allées voir la Tchadienne.	Plus de 150 consules sont allées voir le Tchadien.	Plus de 150 consuls sont allés voir la Tchadienne.	Plus de 150 consuls sont allés voir le Tchadien.	consuls=went;Chadian	consules=allées;la [Tchadienne]	consuls=allés;le [Tchadien]
APRD;SUBJ;PROF;SCMP;GLNK	Is a detective the same as an inspector?	Est-ce qu’une détective est pareille qu’une inspectrice ?	Est-ce qu’une détective est pareille qu’un inspecteur ?	Est-ce qu’un détective est pareil qu’une inspectrice ?	Est-ce qu’un détective est pareil qu’un inspecteur ?	detective=same;inspector	une [détective]=pareille;une [inspectrice]	un [détective]=pareil;un [inspecteur]
ANAN;PPA;SUBJ;OTH;GLNK	The dictator and autocrat is obsessed with amassing fortunes, and has no problem misappropriating public funds.	La dictatrice et autocrate est obsédée par l’accumulation de fortunes, et n’a aucun problème à détourner les fonds publics.	La dictatrice et autocrate est obsédé par l’accumulation de fortunes, et n’a aucun problème à détourner les fonds publics.	Le dictateur et autocrate est obsédée par l’accumulation de fortunes, et n’a aucun problème à détourner les fonds publics.	Le dictateur et autocrate est obsédé par l’accumulation de fortunes, et n’a aucun problème à détourner les fonds publics.	dictator;autocrat=obsessed	la [dictatrice];autocrate=obsédée	le [dictateur];autocrate=obsédé
APRD;SUBJ;PLUR;OTH;GLNK	The disabled are fascinating and onlookers will look.	Les invalides sont fascinantes et les curieuses vont regarder.	Les invalides sont fascinantes et les curieux vont regarder.	Les invalides sont fascinants et les curieuses vont regarder.	Les invalides sont fascinants et les curieux vont regarder.	disabled=fascinating;onlookers	invalides=fascinantes;curieuses	invalides=fascinants;curieux
APRD;SUBJ;DOBJ;OTH;PROF	The driver was happy to guide the hitchhiker.	La chauffeuse était heureuse d’orienter l’auto-stoppeuse.	La chauffeuse était heureuse d’orienter l’auto-stoppeur.	Le chauffeur était heureux d’orienter l’auto-stoppeuse.	Le chauffeur était heureux d’orienter l’auto-stoppeur.	driver=happy;hitchhiker	la [chauffeuse]=heureuse;auto-stoppeuse	le [chauffeur]=heureux;auto-stoppeur
SUBJ;PLUR;SCMP;ANAN;OTH;PPA;PROF	What happened during that term, was that the elected became bureaucrats.	Ce qui s’est passé au cours de ce mandat, c’est que les élues sont devenues des bureaucrates.	Ce qui s’est passé au cours de ce mandat, c’est que les élues sont devenues des bureaucrates.	Ce qui s’est passé au cours de ce mandat, c’est que les élus sont devenus des bureaucrates.	Ce qui s’est passé au cours de ce mandat, c’est que les élus sont devenus des bureaucrates.	elected=became;bureaucrats	élues=devenues;bureaucrates	élus=devenus;bureaucrates
APRD;SUBJ;PLUR;FAM;DFCL	Geriatrics recognize that their relatives are precious.	Les vioques reconnaissent que leurs parentes sont précieuses.	Les vioques reconnaissent que leurs parents sont précieux.	Les viocs reconnaissent que leurs parentes sont précieuses.	Les viocs reconnaissent que leurs parents sont précieux.	geriatrics;relatives=precious	vioques;parentes=précieuses	viocs;parents=précieux
SUBJ;NHUM;OTH;PPA;OPRP	The giant was controlled by an imp.	La géante était contrôlée par une diablotine.	La géante était contrôlée par un diablotin.	Le géant était contrôlé par une diablotine.	Le géant était contrôlé par un diablotin.	giant=controlled;imp	la [géante]=contrôlée;une [diablotine]	le [géant]=contrôlé;un [diablotin]
SUBJ;PROF;PPA;OPRP	The holder can be represented by an authorized representative.	La titulaire peut être représentée par une représentante habilitée.	La titulaire peut être représentée par un représentant habilité.	Le titulaire peut être représenté par une représentante habilitée.	Le titulaire peut être représenté par un représentant habilité.	holder=represented;authorized [representative]	la [titulaire]=représentée;une [représentante]=habilitée	le [titulaire]=représenté;un [représentant]=habilité
SUBJ;APRD;NHUM;PLUR;PERS	The humanoid is more powerful than them.	L’humanoïde est plus puissante qu’elles.	L’humanoïde est plus puissante qu’eux.	L’humanoïde est plus puissant qu’elles.	L’humanoïde est plus puissant qu’eux.	humanoid=powerful;them	humanoïde=puissante;elles	humanoïde=puissant;eux
APRD;SUBJ;PLUR;REL;IOBJ;PERS	I am worried about not being able to speak well to the Messianics.	Je suis inquiète de ne pas pouvoir bien parler aux messianiques.	Je suis inquiète de ne pas pouvoir bien parler aux messianiques.	Je suis inquiet de ne pas pouvoir bien parler aux messianiques.	Je suis inquiet de ne pas pouvoir bien parler aux messianiques.	I=worried;Messianics	je=inquiète;messianiques	je=inquiet;messianiques
APRD;SUBJ;PLUR;ANAN;NAT;OPRP;PERS	I am fascinated by the Japanese, their good manners, their team work and their beliefs.	Je suis fascinée par les Japonaises, leurs bonnes manières, leur travail d’équipe et leurs croyances.	Je suis fascinée par les Japonais, leurs bonnes manières, leur travail d’équipe et leurs croyances.	Je suis fasciné par les Japonaises, leurs bonnes manières, leur travail d’équipe et leurs croyances.	Je suis fasciné par les Japonais, leurs bonnes manières, leur travail d’équipe et leurs croyances.	I=fascinated;Japanese	je=fascinée;Japonaises	je=fasciné;Japonais
APRD;SUBJ;FAM;DFCL;PERS	When I was little, my penpal was in Mexico.	Quand j’étais petite, ma correspondante était au Mexique.	Quand j’étais petite, mon correspondant était au Mexique.	Quand j’étais petit, ma correspondante était au Mexique.	Quand j’étais petit, mon correspondant était au Mexique.	I=little;my [penpal]	j’=petite;ma [correspondante]	j’=petit;mon [correspondant]
SUBJ;PROF;GLNK	A licensed insurer or intermediary does not charge fees.	Une assureuse ou entremetteuse agréée n’exige pas d’honoraires.	Une assureuse ou entremetteur agréé n’exige pas d’honoraires.	Un assureur ou entremetteuse agréée n’exige pas d’honoraires.	Un assureur ou entremetteur agréé n’exige pas d’honoraires.	insurer;intermediary=licensed	une [assureuse];entremetteuse=agréée	un [assureur];entremetteur=agréé
PPA;SUBJ;DFCL;REL;IPRO	The Judeo-Christians were offended that some were interfering with their faith.	Les judéo-chrétiennes étaient offensées que certaines interféraient avec leur foi.	Les judéo-chrétiennes étaient offensées que certains interféraient avec leur foi.	Les judéo-chrétiens étaient offensés que certaines interféraient avec leur foi.	Les judéo-chrétiens étaient offensés que certains interféraient avec leur foi.	Judeo-Christians=offended;some	judéo-chrétiennes=offensées;certaines	judéo-chrétiens=offensés;certains
APRD;SUBJ;PLUR;OTH;DFCL;PERS	Do loners think you are interesting?	Est-ce que les solitaires pensent que tu es intéressante ?	Est-ce que les solitaires pensent que tu es intéressant ?	Est-ce que les solitaires pensent que tu es intéressante ?	Est-ce que les solitaires pensent que tu es intéressant ?	loners;you=interesting	solitaires;tu=intéressante	solitaires;tu=intéressant
SUBJ;PLUR;PROF;ANAN;OTH;AATR;OPRP	Real art lovers will appreciate various artistic styles, like cubism, impressionism, constructivism, pop-art and surrealism, brought in by our spotters.	Les vraies amatrices d’art apprécieront les divers styles artistiques, comme le cubisme, l’impressionnisme, le constructivisme, le pop-art et le surréalisme, amenés par nos dénicheuses.	Les vraies amatrices d’art apprécieront les divers styles artistiques, comme le cubisme, l’impressionnisme, le constructivisme, le pop-art et le surréalisme, amenés par nos dénicheurs.	Les vrais amateurs d’art apprécieront les divers styles artistiques, comme le cubisme, l’impressionnisme, le constructivisme, le pop-art et le surréalisme, amenés par nos dénicheuses.	Les vrais amateurs d’art apprécieront les divers styles artistiques, comme le cubisme, l’impressionnisme, le constructivisme, le pop-art et le surréalisme, amenés par nos dénicheurs.	lovers=real;spotters	vraies [amatrices];dénicheuses	vrais [amateurs];dénicheurs
SUBJ;FAM;PPA;PROF	When the vessel capsized, the main mariner was in the wheel-house and the helper was on deck, leaning against the traps.	Lorsque le navire a chaviré, la matelote principale était dans la timonerie et l’aide était sur le pont, appuyée contre les casiers.	Lorsque le navire a chaviré, la matelote principale était dans la timonerie et l’aide était sur le pont, appuyé contre les casiers.	Lorsque le navire a chaviré, le matelot principal était dans la timonerie et l’aide était sur le pont, appuyée contre les casiers.	Lorsque le navire a chaviré, le matelot principal était dans la timonerie et l’aide était sur le pont, appuyé contre les casiers.	main [mariner];helper=leaning	la [matelote] principale;aide=appuyée	le [matelot] principal;aide=appuyé
SUBJ;PLUR;REL;ANAN;IOBJ;PPA;IPRO	Many got close to radicals by virtue of their painful reality.	Beaucoup se sont rapprochées des radicales en raison de leur réalité douloureuse.	Beaucoup se sont rapprochées des radicaux en raison de leur réalité douloureuse.	Beaucoup se sont rapprochés des radicales en raison de leur réalité douloureuse.	Beaucoup se sont rapprochés des radicaux en raison de leur réalité douloureuse.	many=got close;radicals	beaucoup=rapprochées;radicales	beaucoup=rapprochés;radicaux
APRD;SUBJ;PLUR;NHUM;AATR;OPRP	The Martian was jealous of the other extraterrestrials.	La Martienne était jalouse des autres extraterrestres.	La Martienne était jalouse des autres extraterrestres.	Le Martien était jaloux des autres extraterrestres.	Le Martien était jaloux des autres extraterrestres.	Martian=jealous;extraterrestrials	la [Martienne]=jalouse;extraterrestres	le [Martien]=jaloux;extraterrestres
SUBJ;PLUR;FAM;OTH;PPA	The mountaineers and their allies were injured in the avalanche.	Les alpinistes et leurs alliées ont été blessées dans l’avalanche.	Les alpinistes et leurs alliés ont été blessés dans l’avalanche.	Les alpinistes et leurs alliées ont été blessées dans l’avalanche.	Les alpinistes et leurs alliés ont été blessés dans l’avalanche.	mountaineers;allies=injured	alpinistes;alliées=blessées	alpinistes;alliés=blessés
SUBJ;PPA;NAT;PLUR;GLNK	Muscovites and Nordics are assiduous at diner here.	Les Moscovites et les Nordiques sont assidues au dîner ici.	Les Moscovites et les Nordiques sont assidus au dîner ici.	Les Moscovites et les Nordiques sont assidues au dîner ici.	Les Moscovites et les Nordiques sont assidus au dîner ici.	Muscovites;Nordics=assiduous	Moscovites;Nordiques=assidues	Moscovites;Nordiques=assidus
APRD;SUBJ;PLUR;FAM;PERS	My tots and I are not good at listening.	Mes mômes et moi ne sommes pas douées pour écouter.	Mes mômes et moi ne sommes pas doués pour écouter.	Mes mômes et moi ne sommes pas douées pour écouter.	Mes mômes et moi ne sommes pas doués pour écouter.	my [tots];I=good	mes [mômes];moi=douées	mes [mômes];moi=doués
APRD;SUBJ;PLUR;FAM;AATR;PERS	My bosom buddy and I are proud.	Ma meilleure amie et moi sommes fières.	Ma meilleure amie et moi sommes fiers.	Mon meilleur ami et moi sommes fières.	Mon meilleur ami et moi sommes fiers.	my bossom [buddy];I=proud	ma meilleure [amie];moi=fières	mon meilleur [ami];moi=fiers
SUBJ;PLUR;ANAN;DFCL;PPA;NAT;OPRP	Official figures show that few native Guatemalans were adopted, which demonstrates that something is not working properly, for a country with 3/4 autochthons.	Les chiffres officiels indiquent que peu de Guatémaltèques natives ont été adoptées, ce qui démontre que quelque chose ne fonctionne pas correctement, pour un pays aux 3/4 d’autochtones.	Les chiffres officiels indiquent que peu de Guatémaltèques natives ont été adoptées, ce qui démontre que quelque chose ne fonctionne pas correctement, pour un pays aux 3/4 d’autochtones.	Les chiffres officiels indiquent que peu de Guatémaltèques natifs ont été adoptés, ce qui démontre que quelque chose ne fonctionne pas correctement, pour un pays aux 3/4 d’autochtones.	Les chiffres officiels indiquent que peu de Guatémaltèques natifs ont été adoptés, ce qui démontre que quelque chose ne fonctionne pas correctement, pour un pays aux 3/4 d’autochtones.	native [Guatemalans]=adoptées;autochthons	[Guatémaltèques] natives=adoptées;autochtones	[Guatémaltèques] natifs=adoptés;autochtones
APRD;SUBJ;NHUM;OTH;OPRP;GLNK	Is a Neanderthal different from an earthling?	Est-ce qu’une Néandertalienne est différente d’une terrienne ?	Est-ce qu’une Néandertalienne est différente d’un terrien ?	Est-ce qu’un Néandertalien est différent d’une terrienne ?	Est-ce qu’un Néandertalien est différent d’un terrien ?	Neanderthal=different;earthling	une [Néandertalienne]=différente;une [terrienne]	un [Néandertalien]=différent;un [terrien]
